<<<<<<< HEAD
impression_id, clicked_ad ,cost,currently_insured,number_of_vehicles,number_of_drivers,marital_status,ranked_as,policies_sold
1, 1 ,10,N,1,1,M,1, 1 
2, -   ,10,N,2,1,M,4, -   
3, -   ,10,N,1,1,S,2, -   
4, -   ,10,Y,2,1,M,5, -   
5, -   ,10,Y,2,2,S,4, -   
6, -   ,10,N,1,2,M,3, -   
7, -   ,10,N,1,2,M,3, -   
8, -   ,10,N,1,1,M,4, -   
9, 1 ,10,N,2,1,M,3, 1 
10, -   ,10,Y,1,1,M,2, -   
11, -   ,10,Y,2,1,M,4, -   
12, -   ,10,N,2,2,S,5, -   
13, -   ,10,Y,1,2,M,4, -   
14, -   ,10,N,1,2,S,1, -   
15, -   ,10,Y,2,1,M,3, -   
16, -   ,10,Y,1,2,S,3, -   
17, 1 ,10,N,1,2,M,2, 1 
18, -   ,10,Y,2,1,M,3, -   
19, -   ,10,N,1,2,S,2, -   
20, 1 ,10,Y,2,1,M,5, -   
21, -   ,10,Y,1,1,M,3, -   
22, -   ,10,N,1,1,M,1, -   
23, -   ,10,N,1,2,M,1, -   
24, -   ,10,Y,2,1,M,3, -   
25, -   ,10,Y,2,1,M,4, -   
26, -   ,10,N,2,1,M,4, -   
27, -   ,10,N,1,1,M,2, -   
28, 1 ,10,N,1,2,S,1, 1 
29, -   ,10,N,2,1,M,4, -   
30, -   ,10,N,2,2,S,3, -   
31, -   ,10,N,1,2,M,2, -   
32, -   ,10,N,2,1,M,5, -   
33, -   ,10,Y,1,2,S,3, -   
34, -   ,10,Y,1,1,M,4, -   
35, -   ,10,N,2,2,S,3, -   
36, -   ,10,N,1,2,M,1, -   
37, -   ,10,N,1,2,M,1, -   
38, -   ,10,N,2,1,M,3, -   
39, -   ,10,Y,1,2,S,3, -   
40, -   ,10,N,2,1,S,5, -   
41, 1 ,10,N,1,2,S,1, 1 
42, -   ,10,Y,1,2,S,2, -   
43, 1 ,10,N,1,2,M,1, -   
44, 1 ,10,N,1,1,M,4, 1 
45, -   ,10,N,1,2,S,3, -   
46, 1 ,10,N,1,2,M,1, -   
47, 1 ,10,N,1,2,M,1, -   
48, -   ,10,N,2,1,M,3, -   
49, -   ,10,Y,1,1,M,2, -   
50, -   ,10,N,2,1,M,5, -   
51, 1 ,10,Y,1,1,M,1, -   
52, -   ,10,Y,2,1,M,3, -   
53, -   ,10,Y,2,1,M,5, -   
54, 1 ,10,Y,1,1,M,1, -   
55, -   ,10,N,2,2,S,2, -   
56, -   ,10,Y,2,1,M,5, -   
57, -   ,10,N,1,1,M,2, -   
58, -   ,10,Y,1,2,M,2, -   
59, -   ,10,Y,1,2,M,2, -   
60, -   ,10,N,2,2,M,4, -   
61, -   ,10,N,1,1,M,2, -   
62, -   ,10,N,2,1,M,5, -   
63, -   ,10,N,1,1,M,4, -   
64, -   ,10,N,2,1,M,5, -   
65, -   ,10,Y,1,2,M,4, -   
66, -   ,10,N,1,1,M,1, -   
67, -   ,10,Y,2,1,M,4, -   
68, -   ,10,Y,1,1,M,1, -   
69, -   ,10,N,2,2,M,3, -   
70, -   ,10,Y,1,1,M,1, -   
71, 1 ,10,Y,2,2,M,4, 1 
72, -   ,10,N,2,1,S,4, -   
